timestamp,target
2025-11-19 10:54:05,100.0
2025-11-19 10:54:07,27.0
2025-11-19 10:54:09,198.0
2025-11-19 10:54:11,138.0
2025-11-19 10:54:13,114.0
2025-11-19 10:54:15,151.0
2025-11-19 10:54:17,62.0
2025-11-19 10:54:19,27.0
2025-11-19 10:54:21,149.0
2025-11-19 10:54:23,158.0
2025-11-19 10:54:25,60.0
2025-11-19 10:54:27,146.0
2025-11-19 10:54:29,101.0
2025-11-19 10:54:31,101.0
2025-11-19 10:54:33,36.0
2025-11-19 10:54:35,44.0
2025-11-19 10:54:37,260.0
2025-11-19 10:54:39,83.0
2025-11-19 10:54:41,75.0
2025-11-19 10:54:43,38.0
2025-11-19 10:54:45,153.0
2025-11-19 10:54:47,238.0
2025-11-19 10:54:49,77.0
2025-11-19 10:54:51,105.0
2025-11-19 10:54:53,160.0
2025-11-19 10:54:55,77.0
2025-11-19 10:54:57,94.0
2025-11-19 10:54:59,159.0
2025-11-19 10:55:01,75.0
2025-11-19 10:55:03,114.0
2025-11-19 10:55:05,77.0
